Ref,Qty,Value,Footprint,Dielectric/Type,Voltage,Tolerance,Power/Current,Manufacturer,MPN,Description,Status,Notes,Sheet
L9,1,600 100MHz,,Ferrite bead,,,3A,Murata,BLM21PG600SN1D,FERRITE BEAD 600 100MHz,STD,ferrite bead 0805,Rb IO
L10,1,PGB1010603MR,IND_PGB_0603_LTF,Ferrite bead,,,,Littelfuse,PGB1010603MR,FERRITE BEAD PGB1010603MR,KEEP,PulseGuard ESD suppressor 0603,Connectors
Q1,1,BC847W,Package_TO_SOT_SMD:SOT-323_SC-70,Transistor,,,,Nexperia,BC847W,NPN 45V 100mA,KEEP,SOT-323,PoE
Q2,1,FDMC8622,8-PowerWDFN,Transistor,,,,onsemi,FDMC8622,N-MOSFET 100V,KEEP,Power-WDFN8,PoE
Q3,1,BC857W,Package_TO_SOT_SMD:SOT-323_SC-70,Transistor,,,,Nexperia,BC857W,PNP 45V 100mA,KEEP,SOT-323,PoE
Q4,1,BC847W,Package_TO_SOT_SMD:SOT-323_SC-70,Transistor,,,,Nexperia,BC847W,NPN 45V 100mA,KEEP,SOT-323,PoE
Q5,1,BC847W,Package_TO_SOT_SMD:SOT-323_SC-70,Transistor,,,,Nexperia,BC847W,NPN 45V 100mA,KEEP,SOT-323,PoE
Q6,1,BC847W,Package_TO_SOT_SMD:SOT-323_SC-70,Transistor,,,,Nexperia,BC847W,NPN 45V 100mA,KEEP,SOT-323,STM32
Q7,1,BC847W,Package_TO_SOT_SMD:SOT-323_SC-70,Transistor,,,,Nexperia,BC847W,NPN 45V 100mA,KEEP,SOT-323,STM32
Q8,1,BC847W,Package_TO_SOT_SMD:SOT-323_SC-70,Transistor,,,,Nexperia,BC847W,NPN 45V 100mA,KEEP,SOT-323,LED
Q9,1,BC847W,Package_TO_SOT_SMD:SOT-323_SC-70,Transistor,,,,Nexperia,BC847W,NPN 45V 100mA,KEEP,SOT-323,LED
Q10,1,BC847W,Package_TO_SOT_SMD:SOT-323_SC-70,Transistor,,,,Nexperia,BC847W,NPN 45V 100mA,KEEP,SOT-323,LED
Q11,1,NSS40300MZ4T1G,Package_TO_SOT_SMD:SOT-223-3_TabPin2,Transistor,,,,onsemi,NSS40300MZ4T1G,PNP 40V 3A,KEEP,SOT-223,GPS Antenna
Q12,1,BC857W,Package_TO_SOT_SMD:SOT-323_SC-70,Transistor,,,,Nexperia,BC857W,PNP 45V 100mA,KEEP,SOT-323,GPS Antenna
Q13,1,BC857W,Package_TO_SOT_SMD:SOT-323_SC-70,Transistor,,,,Nexperia,BC857W,PNP 45V 100mA,KEEP,SOT-323,GPS Antenna
Q14,1,BC847W,Package_TO_SOT_SMD:SOT-323_SC-70,Transistor,,,,Nexperia,BC847W,NPN 45V 100mA,KEEP,SOT-323,GPS Antenna
Q15,1,BC847W,Package_TO_SOT_SMD:SOT-323_SC-70,Transistor,,,,Nexperia,BC847W,NPN 45V 100mA,KEEP,SOT-323,Rb Power
Q16,1,BC847W,Package_TO_SOT_SMD:SOT-323_SC-70,Transistor,,,,Nexperia,BC847W,NPN 45V 100mA,KEEP,SOT-323,Rb Power
Q17,1,BC857W,Package_TO_SOT_SMD:SOT-323_SC-70,Transistor,,,,Nexperia,BC857W,PNP 45V 100mA,KEEP,SOT-323,Rb Power
Q18,1,BC847W,Package_TO_SOT_SMD:SOT-323_SC-70,Transistor,,,,Nexperia,BC847W,NPN 45V 100mA,KEEP,SOT-323,Rb Power
Q19,1,BC847W,Package_TO_SOT_SMD:SOT-323_SC-70,Transistor,,,,Nexperia,BC847W,NPN 45V 100mA,KEEP,SOT-323,Rb Power
Q20,1,BC847W,Package_TO_SOT_SMD:SOT-323_SC-70,Transistor,,,,Nexperia,BC847W,NPN 45V 100mA,KEEP,SOT-323,Rb Power
Q21,1,BC847W,Package_TO_SOT_SMD:SOT-323_SC-70,Transistor,,,,Nexperia,BC847W,NPN 45V 100mA,KEEP,SOT-323,Rb IO
Q22,1,NSS40300MZ4T1G,Package_TO_SOT_SMD:SOT-223-3_TabPin2,Transistor,,,,onsemi,NSS40300MZ4T1G,PNP 40V 3A,KEEP,SOT-223,LED
Q23,1,BC847W,Package_TO_SOT_SMD:SOT-323_SC-70,Transistor,,,,Nexperia,BC847W,NPN 45V 100mA,KEEP,SOT-323,LED
Q24,1,BC847W,Package_TO_SOT_SMD:SOT-323_SC-70,Transistor,,,,Nexperia,BC847W,NPN 45V 100mA,KEEP,SOT-323,WDT
Q25,1,SI7469DP-T1-E3,MOSFET_7DP-T1-GE3_VIS,Transistor,,,,Vishay,SI7469DP-T1-E3,P-MOSFET,KEEP,PowerPAK SO-8,Rb Power
Q26,1,BC847W,Package_TO_SOT_SMD:SOT-323_SC-70,Transistor,,,,Nexperia,BC847W,NPN 45V 100mA,KEEP,SOT-323,Rb Power
R1,1,1M,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1004X,RES 1M 1% 1/10W 0402,STD,,Ethernet Input
R2,1,1.2M,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1204X,RES 1.2M 1% 1/10W 0402,STD,,PoE
R3,1,39.2k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF3922X,RES 39.2k 1% 1/10W 0402,STD,,PoE
R4,1,174k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1743X,RES 174k 1% 1/10W 0402,STD,,PoE
R5,1,100k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1003X,RES 100k 1% 1/10W 0402,STD,,PoE
R6,1,2M,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF2004X,RES 2M 1% 1/10W 0402,STD,,PoE
R7,1,1k,R_0402_1005Metric,Thick-film,,1%,1/10W,Panasonic,ERJ-2RKF1001X,RES 1k 1% 1/10W 0402,STD,,PoE
