"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","DIGIKEY_PART_NUMBER","MANUFACTURER","MANUFACTURER_PART_NUMBER","Description"
"D11","1","BAS16W","","","","SOD-123","https://www.mccsemi.com/pdf/Products/BAS16WHE3(SOD-123).pdf","353-BAS16WHE3-TPCT-ND","MCC (Micro Commercial Components)","BAS16WHE3-TP","DIODE STANDARD 75V 100MA SOD123"
"D12,D18,D19","3","BAT54S","","","","SOT-23-3 (TO-236)","https://diotec.com/request/datasheet/bat54.pdf","4878-BAT54SCT-ND","Diotec Semiconductor","BAT54S","DIODE ARR SCHOTT 30V 200MA SOT23"
"D13,D14,D26","3","SMAJ15CA","","","","DO-214AC","https://www.we-online.com/catalog/datasheet/824501151.pdf","732-SMAJ15CATR-ND","Würth Elektronik","SMAJ15CA","TVS DIODE 15VWM 24.4VC DO214AC"
"D16,D20,D21","3","3V3","","","","SOT-23-3 (TO-236)","https://www.onsemi.com/pdf/datasheet/bzx84c2v4lt1-d.pdf","BZX84C3V3LT1GOSCT-ND","onsemi","BZX84C3V3LT1G","DIODE ZENER 3.3V 250MW SOT23-3"
"FB1,FB2,FB3,FB5,FB6,FB7,FB8,FB9,FB10,FB11,FB12","11","600","","","","1206 (3216 Metric)","https://www.murata.com/en-us/products/productdata/8801529331742/ENFA0091.pdf","490-16533-1-ND","Murata","BLM31PG601SN1L","FERRITE BEAD 600ohm 1206"
"FB4","1","120","","","","0402 (1005 Metric)","https://www.murata.com/en-us/products/productdata/8796742189086/QNFA9111.pdf","490-15018-1-ND","Murata","BLM15HD121SN1D","FERRITE BEAD 120ohm 0402"
"J1","1","0826-1X1T-HS-F","","","","","https://www.belfuse.com/resources/brochures/magneticsolutions/br-mag-1g_2gbase-t-100w-poe-icms.pdf","507-2168-ND","Bel/Stewart","0826-1X1T-HS-F","RJ45 magjack 1000BASE-T"
"J2","1","OSTVN04A150","","","","","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1123/OSTVNXXA150.pdf","ED10563-ND","On Shore Technology Inc.","OSTVN04A150","TERM BLK 4P SIDE ENT 2.54MM PCB"
"J3","1","BG055-06A-1-0450-0530-0350-L-D","","","","Library:GCT_BG055-06A-1-0450-0530-0350-L-D","https://gct.co/files/specs/2.54mm-header-spec.pdf","2073-BG055-06A-1-0450-0530-0350-L-D-ND","GCT","BG055-06A-1-0450-0530-0350-L-D","1x6 2.54mm header"
"J5","1","USB4120-03-C","","","","USB4120-03-C_REVA6:GCT_USB4120-03-C_REVA6","https://gct.co/files/specs/usb4120-spec.pdf","2073-USB4120-03-CCT-ND","GCT","USB4120-03-C","CONN RCPT USB2.0 TYP C 16POS SMD"
